id,num_credits,price,price_per_credit,stripe_price_id,created_at,updated_at,deleted_at
1,1,1,1.00,price_1NNRdOCJ0XLbd0HfW7N4tujj,2023-06-28 00:17:58.425516+00,2023-06-28 00:17:58.425589+00,
2,10,5,0.50,price_1NNRhRCJ0XLbd0Hfm6key1a2,2023-06-28 00:18:24.4179+00,2023-06-28 00:18:24.417969+00,
3,50,10,0.20,price_1NNRlbCJ0XLbd0HfmSonkoTu,2023-06-28 00:18:54.015672+00,2023-06-28 00:18:54.01582+00,
4,200,20,0.10,price_1NNRoLCJ0XLbd0HfOQouXRln,2023-06-28 00:20:02.63673+00,2023-06-28 00:20:02.636755+00,
5,1000,50,0.05,price_1NNRshCJ0XLbd0HfVilbcXws,2023-06-28 00:20:21.722863+00,2023-06-28 00:20:21.722929+00,
6,1,1,1.00,price_1NKpAOCJ0XLbd0Hfp66vUE5U,2023-06-28 00:20:38.873276+00,2023-06-28 01:40:14.256393+00,
