line_type_id,name,image_url,description,is_changing,line_value,created_at,updated_at,deleted_at,binary_value
5,old yin,visual_i_ching_app/img/line_type6.png,"This line type represents a yin line (negative, yielding, broken) that is in motion, in transition to becoming a yang line. The value given to this line type is 6 (the sum of the value of all three coins showing yin).",t,6,2023-06-05 13:08:18.46205+00,2023-06-05 13:08:18.462063+00,,0
7,young yin,visual_i_ching_app/img/line_type8.png,"This line type represents a yin line (negative, yielding, broken) that is not in motion, still and at rest. The value given to this line type is 8 (the sum of the value of one coin showing yin and two coins showing yang).",f,8,2023-06-05 13:10:26.078291+00,2023-06-05 13:10:26.078306+00,,0
8,old yang,visual_i_ching_app/img/line_type9.png,"This line type represents a yang line (positive, firm, unbroken) that is in motion, in transition to becoming a yin line. The value given to this line type is 9 (the sum of the value of all three coins showing yang).",t,9,2023-06-05 13:11:21.225341+00,2023-06-19 18:50:30.127714+00,,1
6,young yang,visual_i_ching_app/img/line_type7.png,"This line type represents a yang line (positive, firm, unbroken) that is not in motion, still and at rest. The value given to this line type is 7 (the sum of the value of two coins showing yin and one coin showing yang).",f,7,2023-06-05 13:09:24.321622+00,2023-06-19 18:50:41.071151+00,,1
